FID,OBJECTID,NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y
1,79,Blackfriars,531694,180893,"District, Circle",London Underground,1,-0.102020251,51.51111447
423,426,Blackhorse Lane,534377,166865,n/a,Tramlink,5,-0.06870387,51.3844061
206,117,Blackhorse Road,535761,189370,Victoria,London Underground,3,-0.040174342,51.58633801
259,163,Blackhorse Road,535796,189387,n/a,London Overground,3,-0.039657577,51.58647957
171,449,Blackwall,538398,180664,n/a,DLR,2,-0.005550544,51.50745237
34,42,Bond Street,528491,181118,"Central, Jubilee",London Underground,1,-0.148076884,51.51387033
57,329,Borough,532440,179751,Northern,London Underground,1,-0.091702818,51.50067969
333,217,Boston Manor,516334,178693,Piccadilly,London Underground,4,-0.32401176,51.494711
221,194,Bounds Green,529984,191469,Piccadilly,London Underground,3,-0.122731021,51.60656487
172,450,Bow Church,537393,182829,n/a,DLR,2,-0.01918061,51.52715522
137,251,Bow Road,537090,182736,"District, Hammersmith & City",London Underground,2,-0.02358427,51.52639287
208,1,Brent Cross,523874,187934,Northern,London Underground,3,-0.212185251,51.57616797
475,393,Brentwood,559339,193033,n/a,TfL Rail,0,0.301589064,51.61307149
75,111,Brixton,531052,175429,Victoria,London Underground,2,-0.113288835,51.46215131
129,344,Brockley,536431,175789,n/a,London Overground,2,-0.035763775,51.46411871
216,68,Bromley-by-Bow,538050,182524,"District, Hammersmith & City",London Underground,3,-0.009841042,51.52424987
153,164,Brondesbury,524760,184467,n/a,London Overground,2,-0.200631035,51.5448108
154,165,Brondesbury Park,524227,183953,n/a,London Overground,2,-0.208495753,51.54030862
253,131,Bruce Grove,533800,190100,n/a,London Overground,3,-0.068182034,51.59336509
382,120,Buckhurst Hill,541778,193891,Central,London Underground,5,0.048455336,51.62548342
304,3,Burnt Oak,520326,190760,Northern,London Underground,4,-0.262398845,51.60233699
403,132,Bush Hill Park,533690,195389,n/a,London Overground,5,-0.067751096,51.64092455
470,366,Bushey,511823,195237,n/a,London Overground,8,-0.38369919,51.64433251
78,19,Caledonian Road,530558,184970,Piccadilly,London Underground,2,-0.116864262,51.54801774
155,166,Caledonian Road & Barnsbury,530765,184374,n/a,London Overground,2,-0.114106929,51.54261531
143,133,Cambridge Heath,534856,183270,n/a,London Overground,2,-0.055565622,51.53173049
156,167,Camden Road,529171,184178,n/a,London Overground,2,-0.137154414,51.54122083
115,314,Camden Town,528910,183894,Northern,London Underground,2,-0.141016888,51.53872412
122,336,Canada Water,535475,179472,n/a,London Overground,2,-0.048105945,51.49744864
139,290,Canada Water,535457,179467,Jubilee,London Underground,2,-0.048372238,51.49740822
141,292,Canary Wharf,537677,180140,Jubilee,London Underground,2,-0.016134819,51.50291749
173,451,Canary Wharf DLR,537450,180322,n/a,DLR,2,-0.019337121,51.50461022
233,294,Canning Town,539428,181377,Jubilee,London Underground,3,0.009568884,51.51360991
284,452,CANNING TOWN - DLR,539443,181354,n/a,DLR,3,0.009772469,51.51339633
3,81,Cannon Street,532611,180900,"District, Circle",London Underground,1,-0.088801035,51.51096254
157,168,Canonbury,532384,185035,n/a,London Overground,2,-0.090522836,51.54817851
400,286,Canons Park,518187,191252,Jubilee,London Underground,5,-0.293102561,51.60721294
465,169,Carpenders Park,511833,193398,n/a,London Overground,7,-0.384142381,51.62780024
412,410,Centrale,532066,165786,n/a,Tramlink,5,-0.102295527,51.37525458
408,389,Chadwell Heath,547676,187607,n/a,TfL Rail,5,0.130973337,51.56749975
466,320,Chalfont & Latimer,499634,197564,Metropolitan,London Underground,8,-0.559159868,51.66754646
114,313,Chalk Farm,528202,184391,Northern,London Underground,2,-0.151037017,51.54335257
38,50,Chancery Lane,531124,181615,Central,London Underground,1,-0.109960547,51.5177395
48,229,Charing Cross,530058,180378,"Bakerloo, Northern",London Underground,1,-0.125777173,51.50686754
471,322,Chesham,496079,201633,Metropolitan,London Underground,9,-0.609421076,51.70474175
467,134,Cheshunt,536644,202316,n/a,London Overground,8,-0.022373213,51.70246665
325,66,Chigwell,543795,193021,Central,London Underground,4,0.077229167,51.61715195
404,135,Chingford,539210,194632,n/a,London Overground,5,0.011677573,51.63278212
202,99,Chiswick Park,520293,178724,District,London Underground,3,-0.266981606,51.49415785
459,321,Chorleywood,502581,196095,Metropolitan,London Underground,7,-0.516985176,51.65380677
415,413,Church Street,532037,165557,n/a,Tramlink,5,-0.102795537,51.37319514
109,306,Clapham Common,529505,175338,Northern,London Underground,2,-0.135588991,51.46169503
144,136,Clapham High Street,529804,175717,n/a,London Overground,2,-0.131145084,51.46503062
198,374,Clapham Junction,527211,175416,n/a,London Overground,2,-0.16856542,51.4629141
110,307,Clapham North,530039,175743,Northern,London Underground,2,-0.127754372,51.4652144
108,305,Clapham South,528834,174323,Northern,London Underground,2,-0.145610374,51.45272059
473,137,Clapton,534775,186528,n/a,London Overground,0,-0.055484597,51.56103029
384,24,Cockfosters,528141,196370,Piccadilly,London Underground,5,-0.147553187,51.65103526
303,2,Colindale,521319,189962,Northern,London Underground,4,-0.248341905,51.59494713
235,300,Colliers Wood,526788,170368,Northern,London Underground,3,-0.176460893,51.41763979
421,419,Coombe Lane,535159,164090,n/a,Tramlink,5,-0.058520648,51.35927821
28,17,Covent Garden,530251,181025,Piccadilly,London Underground,1,-0.122759938,51.51263471
174,453,Crossharbour,537927,179309,n/a,DLR,2,-0.012863868,51.49538997
260,170,Crouch Hill,530590,187513,n/a,London Overground,3,-0.115463356,51.57086778
462,326,Croxley,507909,195403,Metropolitan,London Underground,7,-0.44019171,51.64658792
474,381,Crystal Palace,534111,170555,n/a,London Overground,0,-0.071128264,51.41763277
274,437,Custom House,540731,180925,n/a,DLR,3,0.028149357,51.50922299
175,454,Cutty Sark,538206,177733,n/a,DLR,2,-0.009463903,51.48115778
275,438,Cyprus,543331,180860,n/a,DLR,3,0.065567428,51.50798477
401,127,Dagenham East,550294,185030,District,London Underground,5,0.167617456,51.54364955
381,109,Dagenham Heathway,549023,184710,District,London Underground,5,0.149158377,51.54110645
127,342,Dalston Junction,533578,184692,n/a,London Overground,2,-0.07344152,51.5448144
158,171,Dalston Kingsland,533528,185027,n/a,London Overground,2,-0.074035153,51.54783695
427,124,Debden,544273,196122,Central,London Underground,6,0.085403181,51.64489405
145,138,Denmark Hill,532792,176078,n/a,London Overground,2,-0.088015106,51.46758176
176,455,Deptford Bridge,537438,176892,n/a,DLR,2,-0.020845808,51.47378671
177,456,Devons Road,537639,182257,n/a,DLR,2,-0.015859691,51.52195436
246,254,Dollis Hill,522190,185144,Jubilee,London Underground,3,-0.237445148,51.55145847
270,397,Dundonald Road,524728,170256,n/a,Tramlink,3,-0.206116509,51.41708633
224,203,Ealing Broadway,517989,180933,"District, Central",London Underground,3,-0.299418497,51.51449777
226,205,Ealing Common,518896,180346,"District, Piccadilly",London Underground,3,-0.286555479,51.50903565
30,37,Earl's Court,525534,178552,"District, Piccadilly",London Underground,1,-0.19157701,51.4914734
120,319,East Acton,521721,181198,Central,London Underground,2,-0.245569272,51.51609001
417,415,East Croydon (Tramlink),532851,165702,n/a,Tramlink,5,-0.09106147,51.37431604
249,262,East Finchley,527222,189184,Northern,London Underground,3,-0.163438627,51.58665344
326,71,East Ham,542463,184275,"District, Hammersmith & City",London Underground,4,0.054454908,51.5388975
285,457,East India,538732,180831,n/a,DLR,3,-0.000674542,51.50887121
69,102,East Putney,524382,174870,District,London Underground,2,-0.209468663,51.45863492
393,276,Eastcote,511153,187622,"Metropolitan, Piccadilly",London Underground,5,-0.39578946,51.57601384
383,4,Edgware,519550,191940,Northern,London Underground,5,-0.273183711,51.61311251
50,233,Edgware Road (Bakerloo),527047,181759,Bakerloo,London Underground,1,-0.168645951,51.51996099
15,93,Edgware Road (Circle Line),527220,181697,Circle,London Underground,1,-0.166170742,51.51936413
348,139,Edmondton Green,534318,193573,n/a,London Overground,4,-0.059376907,51.62445425
97,230,Elephant & Castle,531909,179142,"Northern, Bakerloo",London Underground,2,-0.099577259,51.4953253
430,27,Elm Park,552542,185716,District,London Underground,6,0.200311564,51.54920911
367,429,Elmers End (Tramlink),535779,168391,n/a,Tramlink,4,-0.047979561,51.39779044
178,458,Elverson Road,537877,176280,n/a,DLR,2,-0.014766759,51.46817948
41,77,Embankment,530419,180396,"District, Bakerloo, Northern, Circle",London Underground,1,-0.120562428,51.50694137
446,140,Emerson Park,553962,187871,n/a,London Overground,6,0.221721192,51.56818654
405,141,Enfield Town,532968,196562,n/a,London Overground,5,-0.077733958,51.65163779
429,126,Epping,546209,201538,Central,London Underground,6,0.115641374,51.69306818
43,197,Euston,529498,182668,"Northern, Victoria",London Underground,1,-0.132992071,51.52757668
68,377,Euston,529608,182690,n/a,London Overground,1,-0.131403702,51.52774704
12,90,Euston Square,529417,182393,"Metropolitan, Circle, Hammersmith & City",London Underground,1,-0.134270582,51.52512499
322,63,Fairlop,544936,190595,Central,London Underground,4,0.092688126,51.59505439
10,88,Farringdon,531560,181874,"Metropolitan, Circle, Hammersmith & City",London Underground,1,-0.103582415,51.51996102
458,424,Fieldway,537684,163173,n/a,Tramlink,6,-0.022640017,51.3504305
306,7,Finchley Central,525278,190668,Northern,London Underground,4,-0.190951925,51.60043321
106,299,Finchley Road,526220,184716,"Metropolitan, Jubilee",London Underground,2,-0.179489511,51.54672589
159,172,Finchley Road & Frognal,526063,185057,n/a,London Overground,2,-0.181637018,51.54982406
93,207,Finsbury Park,531330,186775,"Piccadilly, Victoria",London Underground,2,-0.105068129,51.56406609
268,384,Forest Gate,540470,185339,n/a,TfL Rail,3,0.02615387,51.54895648
242,346,Forest Hill,535400,172936,n/a,London Overground,3,-0.051690278,51.43872534
132,244,Fulham Broadway,525455,177302,District,London Underground,2,-0.193168686,51.48025536
276,439,Gallions Reach,543872,180929,n/a,DLR,3,0.073386821,51.50846722
318,59,Gants Hill,543274,188430,Central,London Underground,4,0.067825538,51.57602949
416,414,George Street,532408,165587,n/a,Tramlink,5,-0.097458992,51.37338118
452,391,Gidea Park,552906,189285,n/a,TfL Rail,6,0.2071101,51.58117713
19,97,Gloucester Road,526183,178846,"District, Piccadilly, Circle",London Underground,1,-0.182135121,51.49397763
209,6,Golders Green,525255,187480,Northern,London Underground,3,-0.192420671,51.57178437
83,32,Goldhawk Road,523184,179608,"Hammersmith & City, Circle",London Underground,2,-0.225049873,51.50148234
55,308,Goodge Street,529537,181837,Northern,London Underground,1,-0.132736642,51.52009307
357,388,Goodmayes,546398,187292,n/a,TfL Rail,4,0.112414564,51.56500163
160,173,Gospel Oak,528277,185673,n/a,London Overground,2,-0.149494861,51.55486145
302,123,Grange Hill,544967,192559,Central,London Underground,4,0.093957755,51.61269646
454,420,Gravel Hill,536373,163537,n/a,Tramlink,6,-0.041304236,51.35401751
13,91,Great Portland Street,528838,182180,"Metropolitan, Circle, Hammersmith & City",London Underground,1,-0.142685711,51.52333822
45,206,Green Park,529007,180295,"Piccadilly, Victoria, Jubilee",London Underground,1,-0.140937126,51.50635747
313,44,Greenford,514763,183928,Central,London Underground,4,-0.34492109,51.54208841
286,459,Greenwich,538052,177334,n/a,DLR,3,-0.011836627,51.47760944
231,227,Gunnersbury,519845,178388,District,London Underground,3,-0.273547129,51.49123204
299,370,Gunnersbury,519813,178341,n/a,London Overground,3,-0.274027392,51.49082016
161,174,Hackney Central,534837,184916,n/a,London Overground,2,-0.055208719,51.54652805
146,142,Hackney Downs,534551,185122,n/a,London Overground,2,-0.059252378,51.54844772
162,175,Hackney Wick,537166,184589,n/a,London Overground,2,-0.021765777,51.54302792
126,341,Haggerston,533560,183992,n/a,London Overground,2,-0.073966769,51.53852752
301,122,Hainault,545080,191498,Central,London Underground,4,0.095143844,51.60313737
102,241,Hammersmith (Dist&Picc Line),523461,178503,"District, Piccadilly",London Underground,2,-0.22144689,51.49148885
95,211,Hammersmith (H&C Line),523325,178698,Hammersmith & City,London Underground,2,-0.223334507,51.49327356
112,311,Hampstead,526373,185761,Northern,London Underground,2,-0.17692039,51.55608598
163,176,Hampstead Heath,527265,185636,n/a,London Overground,2,-0.164099101,51.55475816
213,45,Hanger Lane,518527,182634,Central,London Underground,3,-0.291095909,51.52968038
229,221,Harlesden,520875,183414,Bakerloo,London Underground,3,-0.256997378,51.53619355
261,177,Harlesden,520952,183367,n/a,London Overground,3,-0.255902699,51.53575292
453,392,Harold Wood,554777,190568,n/a,TfL Rail,6,0.234666819,51.59219909
262,178,Harringay Green Lanes,531874,188183,n/a,London Overground,3,-0.096693484,51.57659043
368,430,Harrington Road,535017,168522,n/a,Tramlink,4,-0.058885135,51.3991503
391,258,Harrow & Wealdstone,515443,189446,Bakerloo,London Underground,5,-0.333300136,51.59154651
425,367,Harrow & Wealdstone,515420,189470,n/a,London Overground,5,-0.333631214,51.59176883
398,282,Harrow-on-the-Hill,515346,188038,Metropolitan,London Underground,5,-0.33516664,51.57891586
450,179,Hatch End,513054,191323,n/a,London Overground,6,-0.367177631,51.60890473
436,212,Hatton Cross,509608,175363,Piccadilly,London Underground,6,-0.42189306,51.4661174
407,180,Headstone Lane,513869,190584,n/a,London Overground,5,-0.355651952,51.60209779
439,268,Heathrow Terminal 4,508082,174430,Piccadilly,London Underground,6,-0.444145672,51.45802947
438,335,Heathrow Terminal 5,505109,175924,Piccadilly,London Underground,6,-0.486475608,51.47201647
432,29,Heathrow Terminals 1-2-3,507586,175840,Piccadilly,London Underground,6,-0.450857772,51.47079421
239,332,Hendon Central,522986,188636,Northern,London Underground,3,-0.224748399,51.58267136
179,460,Heron Quays,537421,180122,n/a,DLR,2,-0.019832666,51.50281981
392,267,High Barnet,525030,196180,Northern,London Underground,5,-0.192561468,51.65002914
18,96,High Street Kensington,525578,179494,"District, Circle",London Underground,1,-0.190607248,51.49993492
349,143,Highams Park,538582,191843,n/a,London Overground,4,0.00150512,51.607873
77,115,Highbury & Islington,531583,184874,Victoria,London Underground,2,-0.102125867,51.54691824
201,378,Highbury & Islington,531589,184732,n/a,London Overground,2,-0.10209637,51.54564126
250,263,Highgate,528535,188181,Northern,London Underground,3,-0.144860652,51.577342
441,272,Hillingdon,507602,185035,"Metropolitan, Piccadilly",London Underground,6,-0.447812239,51.55344939
37,49,Holborn,530512,181525,"Central, Piccadilly",London Underground,1,-0.1188087,51.51706879
74,107,Holland Park,524626,180217,Central,London Underground,2,-0.204062863,51.50664438
79,20,Holloway Road,530907,185450,Piccadilly,London Underground,2,-0.111653531,51.55225038
164,181,Homerton,535848,184939,n/a,London Overground,2,-0.040627028,51.54649227
241,345,Honor Oak Park,535896,174137,n/a,London Overground,3,-0.044096334,51.44940041
431,28,Hornchurch,553944,186240,District,London Underground,6,0.220754707,51.55353835
330,214,Hounslow Central,513568,175971,Piccadilly,London Underground,4,-0.364716069,51.470809
331,215,Hounslow East,514255,176203,Piccadilly,London Underground,4,-0.3547554,51.47275219
389,213,Hounslow West,512208,176197,Piccadilly,London Underground,5,-0.384218262,51.47310845
125,340,Hoxton,533576,183148,n/a,London Overground,2,-0.074056385,51.53093841
25,14,Hyde Park Corner,528213,179817,Piccadilly,London Underground,1,-0.152546395,51.50224103
442,273,Ickenham,508092,185938,"Metropolitan, Piccadilly",London Underground,6,-0.440467266,51.56146986
355,386,Ilford,543535,186486,n/a,TfL Rail,4,0.07080065,51.55848898
199,375,Imperial Wharf,526291,176691,n/a,London Overground,2,-0.181347614,51.47457995
180,461,Island Gardens,538227,178444,n/a,DLR,2,-0.008883221,51.48754261
119,318,Kennington,531599,178300,Northern,London Underground,2,-0.104357247,51.48782707
96,220,Kensal Green,523257,182790,Bakerloo,London Underground,2,-0.222882378,51.5300656
165,182,Kensal Green,523241,182784,n/a,London Overground,2,-0.223116997,51.53001765
166,183,Kensal Rise,523578,183250,n/a,London Overground,2,-0.218097094,51.53413249
92,196,Kensington (Olympia),524342,179162,District,London Underground,2,-0.208533266,51.49722528
196,372,Kensington Olympia,524351,179167,n/a,London Overground,2,-0.208397635,51.49726439
116,315,Kentish Town,529009,185127,Northern,London Underground,2,-0.13914119,51.54978865
167,184,Kentish Town West,528597,184691,n/a,London Overground,2,-0.145240267,51.54596266
342,259,Kenton,516728,188314,Bakerloo,London Underground,4,-0.315140189,51.58111281
352,185,Kenton,516698,188340,n/a,London Overground,4,-0.315564441,51.58134846
230,226,Kew Gardens,519196,176732,District,London Underground,3,-0.283453589,51.47648632
263,186,Kew Gardens,519195,176741,n/a,London Overground,3,-0.283465911,51.47656919
103,295,Kilburn,524583,184645,Jubilee,London Underground,2,-0.203115567,51.54644842
168,187,Kilburn High Road,525475,183594,n/a,London Overground,2,-0.190635722,51.53680577
100,235,Kilburn Park,525358,183328,Bakerloo,London Underground,2,-0.192420271,51.53444139
277,440,King George V,543237,180137,n/a,DLR,3,0.063920007,51.50151128
457,423,King Henry's Drive,537977,162560,n/a,Tramlink,6,-0.018665196,51.3448509
11,89,King's Cross St. Pancras,530175,182875,"Metropolitan, Northern, Piccadilly, Circle, Victoria, Hammersmith & City",London Underground,1,-0.123168404,51.52927728
339,255,Kingsbury,519359,188713,Jubilee,London Underground,4,-0.277052309,51.58414203
26,15,Knightsbridge,527710,179636,Piccadilly,London Underground,1,-0.159863737,51.50073061
85,34,Ladbroke Grove,524235,181339,"Hammersmith & City, Circle",London Underground,2,-0.209304449,51.51681261
49,231,Lambeth North,531134,179456,Bakerloo,London Underground,1,-0.110624882,51.49833058
32,40,Lancaster Gate,526711,180773,Central,London Underground,1,-0.173843886,51.51117805
181,462,Langdon Park,537894,181442,n/a,DLR,2,-0.012505001,51.51456754
84,33,Latimer Road,523763,180898,"Hammersmith & City, Circle",London Underground,2,-0.216257476,51.51295039
418,416,Lebanon Road,533348,165756,n/a,Tramlink,5,-0.08389645,51.37468254
27,16,Leicester Square,529980,180824,"Piccadilly, Northern",London Underground,1,-0.126725567,51.51089472
182,463,Lewisham DLR,538046,175946,n/a,DLR,2,-0.012465383,51.46513641
215,54,Leyton,538367,186076,Central,London Underground,3,-0.00386474,51.55609689
264,188,Leyton Midland Road,538191,187523,n/a,London Overground,3,-0.00583941,51.56914561
315,56,Leytonstone,539279,187405,Central,London Underground,4,0.009807678,51.56781496
265,380,Leytonstone High Road,539245,186921,n/a,London Overground,3,0.009121703,51.56347619
183,464,Limehouse DLR,536127,181086,n/a,DLR,2,-0.038095069,51.51179704
7,85,Liverpool Street,533094,181567,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1,-0.081601363,51.5168424
64,144,Liverpool Street,533202,181646,n/a,London Overground,1,-0.080013644,51.51752768
65,395,Liverpool Street,533094,181567,n/a,TfL Rail,1,-0.081601363,51.5168424
420,418,Lloyd Park,533715,164541,n/a,Tramlink,5,-0.079087981,51.36367068
63,289,London Bridge,532683,180189,"Northern, Jubilee",London Underground,1,-0.088037808,51.50455372
278,441,London City Airport,542250,180292,n/a,DLR,3,0.04977043,51.50315378
147,145,London Fields,534775,184246,n/a,London Overground,2,-0.056359095,51.54052142
426,121,Loughton,542319,195612,Central,London Underground,6,0.056970973,51.6408144
99,234,Maida Vale,525940,182762,Bakerloo,London Underground,2,-0.184228557,51.52922219
81,26,Manor House,532048,187482,Piccadilly,London Underground,2,-0.094452148,51.57024769
354,385,Manor Park,541951,185707,n/a,TfL Rail,4,0.047651015,51.55189321
2,80,Mansion House,532354,180932,"District, Circle",London Underground,1,-0.092495313,51.51130597
33,41,Marble Arch,527960,181017,Central,London Underground,1,-0.155755638,51.51309055
267,383,Maryland,539190,184924,n/a,TfL Rail,3,0.007539167,51.54554249
51,236,Marylebone,527459,181957,Bakerloo,London Underground,1,-0.162637346,51.52165079
271,398,Merton Park,525179,169835,n/a,Tramlink,3,-0.199772348,51.41320626
89,52,Mile End,536501,182534,"District, Hammersmith & City, Central",London Underground,2,-0.032150165,51.52472507
305,5,Mill Hill East,524046,191450,Northern,London Underground,4,-0.208460194,51.60773582
361,402,Mitcham,527331,168086,n/a,Tramlink,4,-0.16947597,51.39700089
362,403,Mitcham Junction (Tramlink),528300,167568,n/a,Tramlink,4,-0.155733719,51.39213248
4,82,Monument,532912,180824,"District, Circle",London Underground,1,-0.084502291,51.51020898
461,324,Moor Park,508606,193503,Metropolitan,London Underground,7,-0.430710233,51.6293749
8,86,Moorgate,532668,181668,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1,-0.087700241,51.5178533
329,210,Morden,525670,168602,Northern,London Underground,4,-0.193160282,51.40201673
358,399,Morden Road,525779,169309,n/a,Tramlink,4,-0.191339995,51.408346
113,312,Mornington Crescent,529192,183397,Northern,London Underground,2,-0.137143461,51.53419787
184,465,Mudchute,537904,178750,n/a,DLR,2,-0.013413578,51.49037168
245,253,Neasden,521342,185398,Jubilee,London Underground,3,-0.24957656,51.5539234
456,422,New Addington,538198,162244,n/a,Tramlink,6,-0.015617483,51.34195708
128,343,New Cross,536751,177109,n/a,London Overground,2,-0.030648703,51.47590464
169,189,New Cross Gate,536195,176937,n/a,London Overground,2,-0.038716887,51.47449297
320,61,Newbury Park,544920,188385,Central,London Underground,4,0.091554903,51.57519974
214,46,North Acton,520828,181957,Central,London Underground,3,-0.258167978,51.52310534
211,11,North Ealing,518828,181228,Piccadilly,London Underground,3,-0.287236576,51.51697561
232,293,North Greenwich,539216,179859,Jubilee,London Underground,3,0.005908784,51.50002099
396,280,North Harrow,513541,188613,Metropolitan,London Underground,5,-0.361021834,51.58444941
335,223,North Wembley,517668,186198,Bakerloo,London Underground,4,-0.302293996,51.56189247
353,190,North Wembley,517641,186239,n/a,London Overground,4,-0.302663046,51.56226767
228,218,Northfields,517197,179206,Piccadilly,London Underground,3,-0.311409865,51.49914634
388,74,Northolt,513213,184524,Central,London Underground,5,-0.367069735,51.54775741
346,283,Northwick Park,516643,187964,Metropolitan,London Underground,4,-0.316478653,51.57797585
437,325,Northwood,509230,191419,Metropolitan,London Underground,6,-0.422358538,51.61052039
445,277,Northwood Hills,510308,190238,Metropolitan,London Underground,6,-0.407168137,51.59969703
347,128,Norwood Junction,534012,168233,n/a,London Overground,4,-0.073428759,51.39678711
31,39,Notting Hill Gate,525285,180456,"District, Central, Circle",London Underground,1,-0.194491212,51.5086469
385,25,Oakwood,529390,195935,Piccadilly,London Underground,5,-0.129657109,51.64683948
58,330,Old Street,532764,182419,Northern,London Underground,1,-0.086025441,51.52457628
332,216,Osterley,514520,177097,Piccadilly,London Underground,4,-0.350640896,51.48073359
118,317,Oval,531170,177565,Northern,London Underground,2,-0.110799082,51.48132384
36,48,Oxford Circus,529047,181236,"Central, Bakerloo, Victoria",London Underground,1,-0.140025246,51.51481046
16,94,Paddington,526704,181198,"Hammersmith & City, District, Circle, Bakerloo",London Underground,1,-0.173789485,51.51499491
40,67,Paddington,526659,181314,"Hammersmith & City, District, Circle, Bakerloo",London Underground,1,-0.174388339,51.51605291
46,224,Paddington ,526459,181527,Hammersmith & City,London Underground,1,-0.17719615,51.51800497
212,12,Park Royal,519142,182236,Piccadilly,London Underground,3,-0.282378071,51.52597425
71,104,Parsons Green,524985,176647,District,London Underground,2,-0.200166803,51.47447238
148,146,Peckham Rye,534222,176360,n/a,London Overground,2,-0.067330906,51.46977879
374,348,Penge West,534942,170503,n/a,London Overground,4,-0.059203378,51.41696823
312,43,Perivale,516378,183315,Central,London Underground,4,-0.32183979,51.53624702
359,400,Phipps Bridge,526529,168725,n/a,Tramlink,4,-0.180769806,51.40292944
47,228,Piccadilly Circus,529613,180666,"Bakerloo, Piccadilly",London Underground,1,-0.132081484,51.50955061
22,112,Pimlico,529671,178333,Victoria,London Underground,1,-0.132103672,51.48856954
397,281,Pinner,512236,189461,Metropolitan,London Underground,5,-0.379580851,51.59232907
217,69,Plaistow,540003,183297,"District, Hammersmith & City",London Underground,3,0.018612643,51.53072137
279,442,Pontoon Dock,541219,180109,n/a,DLR,3,0.03485088,51.50176796
185,466,Poplar,537701,180617,n/a,DLR,2,-0.015607274,51.50720026
337,328,Preston Road,518249,187282,Metropolitan,London Underground,4,-0.293539223,51.57151381
280,443,Prince Regent,541264,180899,n/a,DLR,3,0.035815177,51.50885626
287,467,Pudding Mill Lane,537847,183568,n/a,DLR,3,-0.012349897,51.53368602
70,103,Putney Bridge,524519,175887,District,London Underground,2,-0.207131382,51.46774182
